objid,class,u,g,r,i,z,specObjID,spectrum
1237651752388657341,GALAXY,19.86555,18.28662,17.42794,17.01614,16.73029,305262667491207168,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0523.fits
1237651752388657391,GALAXY,19.41914,18.19561,17.53761,17.14157,16.93112,305264041880741888,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0528.fits
1237648722293358792,GALAXY,19.53403,18.1742,17.44846,17.0467,16.80369,305265416270276608,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0533.fits
1237651801773048002,GALAXY,19.86052,17.67235,16.52707,16.05746,15.70108,305266515781904384,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0537.fits
1237648722293358746,GALAXY,19.83573,18.22026,17.29598,16.82884,16.48671,305266790659811328,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0538.fits
1237648721756684465,GALAXY,19.83064,18.16703,17.31909,16.89578,16.63179,305267890171439104,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0542.fits
1237648721756684485,GALAXY,19.61258,18.28136,17.51758,17.10099,16.79959,305268165049346048,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0543.fits
1237651801773179007,GALAXY,19.79431,17.83456,16.85028,16.42186,16.09426,305268439927252992,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0544.fits
1237654670811529359,GALAXY,19.80729,17.84384,16.9197,16.5209,16.16198,305268989683066880,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0546.fits
1237648721756750035,GALAXY,19.07289,17.44917,16.65693,16.19933,15.87542,305270089194694656,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0550.fits
1237648721756749974,GALAXY,19.75829,18.15112,17.45406,17.10359,16.90591,305270638950508544,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0552.fits
1237648721756750022,GALAXY,19.4853,18.15761,17.48596,17.04138,16.76623,305271738462136320,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0556.fits
1237648722830491746,GALAXY,19.26031,17.94856,17.27346,16.90772,16.64974,305273112851671040,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0561.fits
1237651752388853863,GALAXY,19.07251,17.18015,16.35216,15.92644,15.6026,305275036997019648,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0568.fits
1237651752388722785,GALAXY,19.17922,17.2688,16.28137,15.8522,15.54422,305277236020275200,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0576.fits
1237651801773113502,GALAXY,19.52353,18.24568,17.71868,17.34748,17.14123,305277785776089088,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0578.fits
1237654670274855049,GALAXY,19.68183,18.38347,17.67641,17.26066,16.96701,305281634066786304,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0592.fits
1237648721756815492,GALAXY,19.8554,17.81312,16.81107,16.3732,15.99937,305281908944693248,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0593.fits
1237648721219944694,GALAXY,19.69829,18.24773,17.6649,17.2742,17.05737,305282733578414080,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0596.fits
1237651801236373700,GALAXY,19.23079,17.98248,17.32723,16.93311,16.66857,305283008456321024,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0597.fits
1237648722293620887,GALAXY,19.27023,17.60779,16.77196,16.34456,16.01793,305285757235390464,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0607.fits
1237651752388853809,GALAXY,19.47035,17.32957,16.32464,15.92238,15.55305,305286032113297408,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0608.fits
1237648722293686448,GALAXY,19.03017,17.85184,17.20897,16.80697,16.54405,305286581869111296,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0610.fits
1237648722293620962,GALAXY,19.37233,18.13977,17.65479,17.35553,17.13942,305286856747018240,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0611.fits
1237648722293620876,GALAXY,19.31669,17.76804,16.93998,16.48401,16.16595,305287406502832128,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0613.fits
1237648722293686390,GALAXY,19.28976,18.19928,17.71049,17.39103,17.23622,305289055770273792,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0619.fits
1237648721756946678,GALAXY,19.8613,18.06566,17.06742,16.54099,16.11827,305291254793529344,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0627.fits
1237651801773375644,GALAXY,19.53773,17.71127,16.8449,16.4081,16.08213,305291529671436288,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0628.fits
1237654670811725874,GALAXY,19.34994,17.22144,16.22704,15.72786,15.35,305291804549343232,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0629.fits
1237651801236504823,GALAXY,19.2252,18.0585,17.60932,17.35207,17.22337,305292629183064064,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0632.fits
1237654670274855182,GALAXY,19.89087,18.17574,17.48586,17.10491,16.93852,305293453816784896,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0635.fits
